hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1371.3,1359.034,1384.1385,13.47982954,28.42120396,92.8960396,37.82881217,-0.512226027,1.182545516,-1.796883559,-1.763780262,1328.735374,1384.1385,1439.541626,0.384135599,-2
1355.55,1359.98,1382.16,12.78451407,28.98815693,60.88235294,36.42524983,-0.954831238,0.746440589,-1.841010757,-1.866320864,1325.651679,1382.16,1438.668321,0.26454795,-2
1341.39,1358.406,1379.5315,14.07789852,30.21913323,35.62450903,33.52127114,-1.452841752,0.295760905,-1.604794298,-1.779334189,1320.623565,1379.5315,1438.439435,0.176261782,-2
1294.33,1350.614,1373.2315,23.78283658,34.14497131,16.73792888,25.66021472,-1.64208718,-0.137685173,-1.682480859,-1.736480401,1306.670697,1373.2315,1439.792303,-0.092702438,-1
1282.06,1341.478,1366.784,30.61496032,38.52908982,0,24.30487896,-1.873675778,-0.527896329,-1.991828994,-1.783399694,1291.676977,1366.784,1441.891023,-0.064021823,-1
1275.09,1335.323,1360.888,37.17914919,43.06057833,0,32.31367079,-2.220270899,-0.892649049,-2.438806762,-1.911784334,1276.94748,1360.888,1444.82852,-0.011064261,-1
1271.74,1327.978,1353.541,41.96102975,45.16515726,0,27.88167642,-2.589762779,-1.251253668,-2.990325798,-2.141647343,1265.4979,1353.541,1441.5841,0.035449115,-2
1241.91,1316.566,1345.115,48.49398661,49.50444398,0,18.62905555,-2.748197157,-1.574068267,-3.756821642,-2.572052811,1248.613073,1345.115,1441.616927,-0.034730255,-2
1224.1,1303.164,1335.714,53.94656908,53.7785389,0,16.72608967,-3.024405631,-1.890922049,-4.485327163,-3.132622072,1230.880328,1335.714,1440.547672,-0.032338504,2
1252.39,1290.986,1327.405,49.71608396,53.13709989,32.8,30.48774839,-3.200609964,-2.189631375,-4.845275449,-3.703311363,1223.821723,1327.405,1430.988277,0.137900044,-1
1251.3,1278.986,1319.01,42.07115803,51.09516652,35.19970138,27.47685074,-3.421098213,-2.463661039,-4.705693772,-4.156688765,1219.407184,1319.01,1418.612816,0.160099972,2
1271.47,1270.578,1315.279,32.34766102,51.73409889,49.86109682,30.58412932,-3.723812411,-2.715991112,-4.550397944,-4.468703194,1214.430675,1315.279,1416.127325,0.282797581,1
1275.65,1264.004,1311.205,21.07276188,51.47248867,73.58121331,31.24403002,-3.924860634,-2.969632607,-4.247728507,-4.566884567,1210.866648,1311.205,1411.543352,0.322824477,-2
1245.72,1259.143,1304.8785,18.78207423,51.35030664,62.92134831,22.52171309,-4.156449398,-3.223274121,-4.0683536,-4.483489854,1204.778324,1304.8785,1404.978676,0.204503516,2
1265.86,1257.523,1299.5005,17.21943995,49.38904326,58.91934843,28.99601594,-4.224914497,-3.446012298,-3.408051236,-4.196045012,1203.22353,1299.5005,1395.77747,0.325293109,2
1283.57,1258.371,1296.847,18.35222569,48.70960751,67.51329643,35.77245414,-3.91449315,-3.593204562,-2.555307494,-3.765967756,1201.894495,1296.847,1391.799505,0.4300861,-1
1271.63,1258.36,1293.169,18.34335302,47.63246857,50.09535161,36.08917604,-3.56385863,-3.683833614,-2.06561224,-3.269010615,1200.316225,1293.169,1386.021775,0.384015314,-1
1267.87,1260.956,1288.761,17.57761468,45.54241169,45.34020125,43.62225222,-3.387572429,-3.724185481,-1.546967536,-2.728858421,1199.982496,1288.761,1377.539504,0.382342014,1
1270.56,1265.602,1284.383,12.01282537,42.64009839,72.08392603,47.09390478,-3.147896504,-3.71832843,-1.221498127,-2.159487326,1201.262146,1284.383,1367.503854,0.416849988,2
1285.27,1268.89,1279.938,12.48526064,37.05564998,69.10057075,52.47568093,-2.619810191,-3.629296427,-0.771086457,-1.632094371,1207.70324,1279.938,1352.17276,0.536907439,1
1285.68,1272.328,1275.657,11.81916128,30.2695948,53.14831394,53.43925787,-1.969483707,-3.434371016,0.009418116,-1.119149249,1216.650697,1275.657,1334.663303,0.584931605,1
